id,BAF,DR,total,minor
0,0.14529914529914534,0.41342756183745577,1,0
1,0.08500000000000002,0.7067137809187279,2,0
2,0.5,0.7067137809187279,2,1
3,0.06007067137809188,1.0,3,0
4,0.35335689045936397,1.0,3,1
5,0.046448087431694,1.2932862190812722,4,0
6,0.27322404371584696,1.2932862190812722,4,1
7,0.5,1.2932862190812722,4,2
8,0.03786191536748331,1.586572438162544,5,0
9,0.22271714922049002,1.586572438162544,5,1
10,0.40757238307349675,1.586572438162544,5,2
11,0.031954887218045125,1.879858657243816,6,0
12,0.1879699248120301,1.879858657243816,6,1
13,0.3439849624060151,1.879858657243816,6,2
14,0.5,1.879858657243816,6,3
15,0.027642276422764237,2.1731448763250882,7,0
16,0.1626016260162602,2.1731448763250882,7,1
17,0.29756097560975614,2.1731448763250882,7,2
18,0.432520325203252,2.1731448763250882,7,3
